epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
17,2033.24,0.78495,0.6837,1.25024,0.96629,0.90071,0.97338,0.73601,0.83875,0.63518,1.4338,0.00113889,0.00113889,0.00113889
18,2155.13,0.76575,0.67424,1.23807,0.95023,0.94784,0.96991,0.75314,0.7366,0.57479,1.31201,0.00110589,0.00110589,0.00110589
19,2277.35,0.75873,0.69254,1.23751,0.94986,0.94051,0.9703,0.73696,0.75491,0.60372,1.35023,0.00107288,0.00107288,0.00107288
20,2398.8,0.76288,0.67598,1.23154,0.94153,0.95745,0.97884,0.7647,0.73587,0.56623,1.30423,0.00103987,0.00103987,0.00103987
21,2520.85,0.72452,0.65932,1.21863,0.90895,0.95586,0.97689,0.76869,0.72604,0.59242,1.29348,0.00100687,0.00100687,0.00100687
22,2643.21,0.75843,0.69301,1.23149,0.93315,0.94054,0.96854,0.74949,0.74802,0.5879,1.32685,0.000973861,0.000973861,0.000973861
23,2764.52,0.76151,0.65215,1.22343,0.92203,0.9226,0.96228,0.74569,0.75411,0.59991,1.3166,0.000940855,0.000940855,0.000940855
24,2885.47,0.74472,0.67255,1.22752,0.95994,0.93262,0.9873,0.77591,0.69715,0.54201,1.28161,0.000907848,0.000907848,0.000907848
25,3008.91,0.72831,0.60624,1.2071,0.9527,0.92857,0.97447,0.77111,0.68835,0.56178,1.28153,0.000874842,0.000874842,0.000874842
26,3129.91,0.72487,0.62912,1.20195,0.97102,0.95052,0.98185,0.80016,0.65577,0.48517,1.22466,0.000841835,0.000841835,0.000841835
27,3249.76,0.68397,0.59067,1.18316,0.95017,0.94665,0.98179,0.80169,0.64107,0.4741,1.21476,0.000808828,0.000808828,0.000808828
28,3370.87,0.69756,0.62252,1.18914,0.93649,0.94126,0.97534,0.79413,0.62061,0.51492,1.19698,0.000775822,0.000775822,0.000775822
29,3491.59,0.64384,0.58006,1.15514,0.96523,0.88592,0.96137,0.76921,0.69027,0.56172,1.26004,0.000742815,0.000742815,0.000742815
30,3609.39,0.64718,0.56152,1.15004,0.97119,0.96454,0.98815,0.82815,0.61688,0.45667,1.19316,0.000709809,0.000709809,0.000709809
31,3730.23,0.66461,0.54731,1.18278,0.96113,0.96453,0.98464,0.81688,0.63898,0.452,1.21435,0.000676802,0.000676802,0.000676802
32,3847.74,0.66656,0.55395,1.17218,0.95355,0.96454,0.9839,0.80142,0.63968,0.49646,1.20565,0.000643795,0.000643795,0.000643795
33,3965.91,0.7065,0.59933,1.18777,0.97151,0.95035,0.9912,0.81596,0.62403,0.4452,1.21324,0.000610789,0.000610789,0.000610789
34,4084.98,0.64685,0.55227,1.16139,0.98186,0.95944,0.98647,0.80543,0.63379,0.48141,1.21029,0.000577782,0.000577782,0.000577782
35,4202.85,0.64155,0.5464,1.145,0.97101,0.95036,0.9815,0.81344,0.61124,0.46884,1.19997,0.000544776,0.000544776,0.000544776
36,4319.5,0.62025,0.52865,1.13726,0.9744,0.94492,0.9805,0.81078,0.62068,0.47358,1.21888,0.000511769,0.000511769,0.000511769
37,4436.31,0.61344,0.52121,1.14153,0.98163,0.94751,0.98023,0.82384,0.59881,0.43252,1.191,0.000478762,0.000478762,0.000478762
38,4554.79,0.6285,0.52594,1.14232,0.95228,0.95035,0.97845,0.82353,0.57457,0.44433,1.15733,0.000445756,0.000445756,0.000445756
39,4672.32,0.62215,0.53038,1.15264,0.96317,0.9539,0.98411,0.83301,0.57683,0.42865,1.14669,0.000412749,0.000412749,0.000412749
40,4791.31,0.62664,0.5247,1.15142,0.97119,0.95745,0.97848,0.8221,0.58407,0.44594,1.17225,0.000379743,0.000379743,0.000379743
41,4907.18,0.44856,0.4335,1.08046,0.9677,0.95605,0.97446,0.8059,0.61124,0.42731,1.19716,0.000346736,0.000346736,0.000346736
42,5023.26,0.42796,0.35873,1.0573,0.98876,0.9539,0.98485,0.84642,0.54515,0.40024,1.14137,0.000313729,0.000313729,0.000313729
43,5140.09,0.42708,0.34217,1.04614,0.97656,0.98582,0.98707,0.85003,0.5486,0.38747,1.13316,0.000280723,0.000280723,0.000280723
44,5256.37,0.40189,0.33358,1.00132,0.98534,0.95319,0.98234,0.85957,0.53926,0.38415,1.12067,0.000247716,0.000247716,0.000247716
45,5372.68,0.39533,0.33423,1.01514,0.97144,0.96484,0.98565,0.85645,0.54201,0.35977,1.12571,0.00021471,0.00021471,0.00021471
46,5489.08,0.38192,0.31048,1.01053,0.97158,0.96995,0.98612,0.85498,0.53216,0.35201,1.11454,0.000181703,0.000181703,0.000181703
47,5605.41,0.38554,0.29508,0.99016,0.975,0.96807,0.98627,0.86032,0.51769,0.35064,1.1033,0.000148696,0.000148696,0.000148696
48,5722.32,0.37139,0.29688,0.99894,0.98494,0.96809,0.98953,0.86521,0.51419,0.34486,1.09111,0.00011569,0.00011569,0.00011569
49,5839.04,0.37797,0.29116,1.00238,0.98208,0.97145,0.99049,0.87075,0.50853,0.33856,1.09139,8.26832e-05,8.26832e-05,8.26832e-05
50,5955.76,0.36597,0.288,1.00178,0.97165,0.97872,0.98907,0.87491,0.50875,0.34261,1.09308,4.96766e-05,4.96766e-05,4.96766e-05
