epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,120.965,1.52278,3.66754,1.86734,0.12031,0.57092,0.11552,0.05274,1.12287,2.70358,1.72824,0.000539324,0.000539324,0.000539324
2,239.454,1.07227,1.68706,1.49951,0.65316,0.65445,0.71153,0.46478,1.11773,1.44979,1.67644,0.00107331,0.00107331,0.00107331
3,358.321,1.0654,1.27316,1.47178,0.76808,0.8221,0.85733,0.5493,1.17511,1.06454,1.72113,0.00158529,0.00158529,0.00158529
4,476.828,1.02506,1.06804,1.42568,0.73149,0.8156,0.8422,0.53974,1.14567,1.31088,1.75745,0.00156798,0.00156798,0.00156798
5,595.456,0.94853,0.97232,1.369,0.76406,0.70213,0.79797,0.48361,1.24787,1.42873,1.89533,0.00153497,0.00153497,0.00153497
6,715.197,1.00683,0.9664,1.42012,0.83138,0.80428,0.871,0.59775,1.07796,1.03166,1.6155,0.00150197,0.00150197,0.00150197
7,833.882,0.93974,0.91522,1.35266,0.77377,0.84903,0.86948,0.60084,1.01877,0.97572,1.59543,0.00146896,0.00146896,0.00146896
8,952.401,0.90349,0.86072,1.32486,0.88466,0.87038,0.93103,0.68559,0.88895,0.78925,1.50251,0.00143595,0.00143595,0.00143595
9,1071.2,0.88938,0.82908,1.33691,0.91704,0.82319,0.9227,0.62721,0.9835,0.88557,1.58681,0.00140295,0.00140295,0.00140295
10,1190.47,0.90385,0.84837,1.33283,0.90726,0.85461,0.94323,0.6337,1.08024,0.83465,1.62838,0.00136994,0.00136994,0.00136994
11,1309.59,0.86944,0.82663,1.312,0.92358,0.90426,0.95905,0.70483,0.84097,0.73999,1.40509,0.00133693,0.00133693,0.00133693
12,1429.49,0.88407,0.83945,1.32701,0.90417,0.90334,0.95244,0.70685,0.80987,0.73216,1.41622,0.00130393,0.00130393,0.00130393
13,1549.41,0.82969,0.76629,1.27458,0.92166,0.91489,0.96337,0.71872,0.80715,0.70953,1.38977,0.00127092,0.00127092,0.00127092
14,1669.57,0.83056,0.76174,1.26957,0.95412,0.90426,0.97049,0.71634,0.84741,0.67697,1.39234,0.00123791,0.00123791,0.00123791
15,1790.26,0.77002,0.69982,1.25339,0.87919,0.92901,0.95392,0.70661,0.80966,0.73449,1.36496,0.00120491,0.00120491,0.00120491
16,1912.01,0.76859,0.71165,1.23703,0.9431,0.94049,0.9752,0.75074,0.8041,0.58327,1.37097,0.0011719,0.0011719,0.0011719
